TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT,TOTAL_FLIGHTS,TOTAL_MAX_PASSANGERS,MILES_TRAVELED,TOTAL_FUEL_COST,TOTAL_FEES,TOTAL_GATE_COST,TOTAL_COST,COST/PASSANGER
N466AA,524,37.2,9254.18,1439,754036,1057009,39320734.800000004,108236.79000000002,5264528.949999965,44693500.53999997,59.272369674657405
N768US,524,37.4,9461.78,684,358416,510771,19102835.4,34366.44000000001,2164900.2000000016,21302102.040000003,59.43401533413687
N006AA,524,35.4,10119.6,758,397192,598768,21196387.2,69716.07999999994,2731056.8700000024,23997160.15,60.417027910934756
N569AA,524,36.9,9291.06,1384,725216,1050063,38747324.699999996,88731.20000000001,4983513.069999971,43819568.96999997,60.42278296397207
N4XUAA,524,38.3,10313.08,1339,701636,979343,37508836.9,108452.70000000006,4986179.459999969,42603469.05999997,60.72018690603101
N469AA,524,39.4,10450.07,1354,709496,968597,38162721.8,194352.16000000006,4812565.349999975,43169639.30999997,60.8455006229774
N4YLAA,524,36.5,9757.2,1277,669148,985414,35967611.0,84171.37000000001,4725378.779999968,40777161.14999996,60.93892703856241
N503AA,524,38.0,9430.46,1458,763992,1087656,41330928.0,101757.45,5182112.829999965,46614798.27999997,61.01477277248973
N812AW,524,37.9,9219.74,658,344792,503270,19073933.0,5253.1100000000015,1968406.1799999971,21047592.289999995,61.04431741455717
N4XDAA,524,37.5,10199.68,1337,700588,1018349,38188087.5,219459.37999999998,4846573.269999973,43254120.149999976,61.7397388336654
N715UW,368,33.9,7119.04,713,262384,419465,14219863.5,-607.160000000003,2026261.9699999904,16245518.309999991,61.91504935514357
N805AW,524,36.6,9739.32,719,376756,577272,21128155.2,34908.08999999999,2177726.1800000006,23340789.47,61.952004666149975
N824AW,524,39.0,9253.18,733,384092,555899,21680061.0,48543.17000000001,2105768.2800000017,23834372.450000003,62.0538111962759
N4YBAA,524,39.1,9406.2,1400,733600,1041343,40716511.300000004,175870.98999999996,4957023.599999971,45849405.88999998,62.49919014449288
N762US,524,39.2,10088.51,735,385140,561516,22011427.200000003,33681.24,2102681.8100000005,24147790.25,62.698733577400425
N4XHAA,524,39.1,9466.4,1407,737268,1050822,41087140.2,117820.15000000002,5102265.959999977,46307226.30999998,62.80921769288777
N4YCAA,524,38.9,9682.49,1144,599456,859630,33439607.0,147931.02000000005,4081325.7099999753,37668863.72999998,62.83841304449364
N575AA,524,37.4,9904.11,895,468980,693160,25924184.0,93890.87000000008,3516082.099999992,29534156.96999999,62.975301654654764
N753US,524,38.1,10476.03,689,361036,540297,20585315.7,2285.0800000000004,2200089.929999999,22787690.709999997,63.11750271441074
N564AA,524,38.0,9732.18,1351,707924,1046296,39759248.0,108713.80000000002,4936365.229999975,44804327.02999997,63.28974159655552
N202AA,524,39.4,10129.11,1378,722072,1032901,40696299.4,174567.52000000005,4957458.509999977,45828325.42999998,63.46780574513342
N285AY,524,35.2,10377.21,17,8908,14653,515785.60000000003,-96.13999999999987,52205.58999999998,567895.05,63.75112819937136
N103US,368,31.1,7571.83,636,234048,419938,13060071.8,18156.509999999995,1862513.939999992,14940742.249999993,63.836231243163766
N585AA,524,39.3,10302.7,1319,691156,1011353,39746172.9,126084.3600000001,4760038.789999975,44632296.049999975,64.57629833206971
N4YJAA,524,37.4,10143.12,594,311256,475505,17783887.0,39956.71999999999,2335033.5900000064,20158877.310000006,64.7662287955895
N598AA,524,37.9,10199.19,937,490988,741166,28090191.4,133802.9299999999,3706646.9799999935,31930641.30999999,65.03344544062175
N012AA,524,38.7,9274.3,671,351604,525187,20324736.900000002,49736.889999999985,2502025.870000009,22876499.66000001,65.0632520107849
N201AA,524,38.8,9291.01,661,346364,515437,19998955.599999998,70821.93,2616528.920000003,22686306.45,65.49845379427423
N008AA,524,37.1,9220.41,632,331168,522799,19395842.900000002,56288.85999999999,2323117.430000001,21775249.19,65.75287826722389
N8AFAA,524,37.2,9566.73,83,43492,68731,2556793.2,7649.100000000001,333277.33999999956,2897719.6399999997,66.62649774671203
N004AA,524,38.3,10079.39,691,362084,566049,21679676.7,43285.93000000002,2403866.1300000036,24126828.76,66.63323637608953
N823AW,524,35.9,9220.78,606,317544,538570,19334663.0,28681.199999999997,1814262.750000002,21177606.950000003,66.69188191242789
N809AW,524,37.8,9619.14,675,353700,576264,21782779.2,28473.460000000003,1909231.689999998,23720484.349999998,67.0638517104891
N559AA,368,30.7,7307.3,347,127696,233210,7159547.0,104585.04999999997,1375325.9200000006,8639457.97,67.65644945808796
N104UW,368,34.1,7687.87,649,238832,421068,14358418.8,11776.680000000004,1901117.2599999926,16271312.739999993,68.12869607087825
N112US,368,31.6,7035.07,652,239936,457194,14447330.4,36456.68000000001,1883235.2499999932,16367022.329999993,68.21411680614827
N270AY,368,32.7,7174.47,46,16928,30717,1004445.9000000001,-949.6200000000001,153211.3300000001,1156707.6100000003,68.33102611058604
N029AA,524,37.1,9962.07,571,299204,503215,18669276.5,24448.899999999998,1986350.4200000027,20680075.82,69.11697644416519
N955UW,200,29.9,4080.41,789,157800,293375,8771912.5,1871.0199999999988,2166436.659999977,10940220.179999977,69.32965893536107
N121UW,368,33.9,7787.16,649,238832,434845,14741245.5,34068.60000000002,1906521.7599999935,16681835.859999994,69.84757427815366
N833AW,368,33.5,7316.62,847,311696,587935,19695822.5,16524.999999999993,2558101.429999998,22270448.93,71.4492612353062
N825AW,368,33.1,7641.26,829,305072,586178,19402491.8,10361.709999999994,2421861.069999998,21834714.58,71.57233236744112
N752US,368,33.0,7341.16,766,281888,549307,18127131.0,21036.770000000004,2131376.529999993,20279544.299999993,71.9418503093427
N473AA,368,30.9,7864.06,1417,521456,1044565,32277058.5,121002.51999999993,5152967.63999997,37551028.65999997,72.01188338038102
N8AGAA,524,38.7,10304.09,62,32488,54054,2091889.8,5419.0599999999995,267696.98999999993,2365005.8499999996,72.79628939916276
N4WTAA,368,32.3,7828.42,1239,455952,888106,28685823.799999997,133496.33,4418220.09999997,33237540.229999967,72.89701597975218
N558AA,368,30.9,7276.4,197,72496,144787,4473918.3,39735.02,783087.3000000013,5296740.620000001,73.06252234606049
N574AA,368,30.6,7111.95,838,308384,625818,19150030.8,101865.53,3308598.899999993,22560495.229999997,73.15715221931097
N030AA,524,38.1,10454.74,538,281912,491260,18717006.0,8141.069999999992,1926628.8300000003,20651775.900000002,73.25610793439088
N748UW,368,31.9,7727.7,625,230000,467300,14906870.0,31448.32,1996369.0699999975,16934687.389999997,73.62907560869564
N291AY,524,36.2,10525.63,22,11528,21610,782282.0000000001,-2083.74,69286.48999999999,849484.7500000001,73.68882286606524
N555AA,368,32.2,7026.55,1328,488704,972934,31328474.800000004,117077.08000000006,4810940.809999967,36256492.68999997,74.18906473038888
N501AA,368,32.2,7628.58,1407,517776,1032775,33255355.000000004,95571.54000000001,5260437.9999999665,38611364.53999997,74.57156094527357
N820AW,368,32.6,7270.14,814,299552,614147,20021192.2,18202.800000000007,2401383.2399999998,22440778.24,74.91446640316205
N967UW,200,30.4,4335.87,858,171600,324395,9861608.0,966.9200000000021,3011596.359999962,12874171.279999962,75.02430815850794
N4XCAA,368,32.1,7292.61,1417,521456,1064871,34182359.1,101869.69999999997,5073470.469999965,39357699.269999966,75.47654887468927
N745VJ,368,34.0,7500.86,681,250608,495512,16847408.0,36688.9,2048930.9400000018,18933027.84,75.54837770542042
N817AW,368,31.5,7542.3,728,267904,578150,18211725.0,23191.839999999993,2099091.0400000005,20334007.88,75.90035191710463
N514AA,368,32.8,7486.07,1375,506000,1019724,33446947.199999996,137261.20000000004,4896835.529999969,38481043.92999997,76.04949393280627
N482AA,368,33.0,7080.82,1358,499744,1005297,33174801.0,87407.54000000007,4865372.109999972,38127580.64999997,76.29422394265858
N4YAAA,368,31.5,7021.43,1318,485024,1025608,32306652.0,147613.09,4682227.869999971,37136492.95999997,76.56629972949786
N200UU,524,37.1,9555.02,236,123664,238615,8852616.5,10241.68,627732.1800000004,9490590.36,76.7449731530599
N639AA,524,35.2,9585.96,16,8384,16332,574886.4,14334.569999999998,55039.03,644260.0,76.84398854961832
N948UW,200,30.5,4125.47,936,187200,385886,11769523.0,-3118.3699999999963,2684390.4999999646,14450795.129999965,77.194418429487
N286AY,368,31.0,7130.92,25,9200,20577,637887.0,3022.44,73844.43000000001,714753.87,77.69063804347826
N979UY,524,38.8,10420.99,229,119996,220426,8552528.799999999,13094.320000000005,860782.1900000004,9426405.309999999,78.5559961165372
N4YFAA,368,33.9,7418.88,1304,479872,978524,33171963.599999998,59009.799999999996,4615649.899999969,37846623.29999997,78.86816338523599
N011AA,368,33.3,7206.98,714,262752,545218,18155759.4,36280.18,2597165.490000009,20789205.070000008,79.1210155203386
N565AA,368,32.3,7645.77,1309,481712,1028056,33206208.799999997,104970.13000000008,4810532.999999971,38121711.92999997,79.1379744120968
N677AW,524,36.0,9932.81,601,314924,644953,23218308.0,9758.65,1854636.1599999976,25082702.809999995,79.64684434974787
N3CSAA,524,35.2,10072.4,907,475268,984649,34659644.800000004,79767.57,3183202.7000000034,37922615.07000001,79.79206483499837
N652AW,524,36.0,10416.68,455,238420,500490,18017640.0,28170.609999999997,1322194.6499999948,19368005.259999994,81.23481780052006
N013AA,368,32.2,6974.94,664,244352,542604,17471848.8,72003.97,2402633.710000005,19946486.480000004,81.63013390518597
N757UW,368,33.1,7026.79,606,223008,500547,16568105.700000001,20395.779999999984,1810108.389999999,18398609.87,82.50201728189124
N194UW,524,36.0,9690.21,668,350032,743838,26778168.0,38445.63999999999,2074623.8499999929,28891237.489999995,82.5388464197559
N153UW,524,36.1,10378.69,645,337980,718672,25944059.2,9690.440000000002,1982825.6399999913,27936575.279999994,82.65748056097992
N3BSAA,524,35.5,9437.6,964,505136,1078318,38280289.0,31970.679999999986,3444286.7199999937,41756546.39999999,82.66396851540969
N169UW,524,36.1,10043.25,674,353176,751313,27122399.3,20996.679999999997,2114753.9099999913,29258149.889999993,82.84297316352185
N975UY,524,37.2,10446.75,184,96416,195905,7287666.000000001,10007.66,700883.66,7998557.320000001,82.95881720876204
N657AW,524,38.3,10399.46,616,322784,652517,24991401.099999998,1253.7100000000005,1875235.2299999965,26867890.039999995,83.23798589769008
N802AW,368,33.2,7879.8,540,198720,449892,14936414.4,20909.11,1618864.51,16576188.02,83.41479478663446
N032AA,368,31.5,7091.15,302,111136,265935,8376952.5,8060.430000000002,886125.3299999991,9271138.259999998,83.42155791102792
N621AA,524,35.8,9999.26,14,7336,15557,556940.6,2154.25,54740.76000000001,613835.61,83.6744288440567
N510UW,524,35.9,10195.15,694,363656,787883,28284999.7,-1962.2400000000018,2183723.519999995,30466760.979999997,83.77906862529423
N3BJAA,524,36.0,10200.55,1017,532908,1138026,40968936.0,60827.26000000002,3673074.5000000056,44702837.760000005,83.88471886329349
N3KFAA,524,36.5,10286.68,1060,555440,1174088,42854212.0,48956.28000000002,3720320.6800000006,46623488.96,83.93973959383553
N508AY,524,36.1,10402.32,681,356844,770811,27826277.1,30538.829999999973,2129905.2299999944,29986721.159999993,84.03313817802736
N559UW,524,36.5,10405.92,632,331168,709473,25895764.5,23645.739999999987,2010230.44999999,27929640.68999999,84.33677375229487
N838AW,368,33.2,7636.83,640,235520,539422,17908810.400000002,10223.190000000004,2026685.8499999994,19945719.44,84.68800713315218
N567UW,524,36.6,9478.55,678,355272,765975,28034685.0,33566.53000000001,2156941.249999996,30225192.779999997,85.07620296561507
N185UW,524,37.5,9411.11,644,337456,710862,26657325.0,33937.58999999999,2056105.8399999908,28747368.429999992,85.18849399625431
N545UW,524,35.9,9369.39,693,363132,803321,28839223.9,53730.10999999999,2186611.5599999935,31079565.569999993,85.58751520108389
N7LAAA,368,33.7,7061.58,2,736,1604,54054.8,-157.45999999999998,9172.56,63069.9,85.69279891304348
N5EYAA,524,38.9,9690.08,228,119472,243595,9475845.5,40751.50999999999,721892.000000001,10238489.010000002,85.69781212334271
N541UW,524,36.0,10537.88,368,192832,432128,15556608.0,7212.229999999999,974173.59,16537993.82,85.76374159890474
N556UW,524,35.5,9555.94,606,317544,714100,25350550.0,11225.850000000004,1902235.3099999907,27264011.159999993,85.85900272088276
N3KHAA,524,35.7,9889.81,1002,525048,1163108,41522955.6,102.44000000000233,3568063.3900000034,45091121.43,85.8799984572839
N3ENAA,524,36.5,10408.17,1013,530812,1146829,41859258.5,15900.639999999992,3717480.180000004,45592639.32000001,85.89225435747498
N3MYAA,524,37.1,9267.17,125,65500,138907,5153449.7,-1067.8500000000015,488809.29999999935,5641191.15,86.12505572519085
N3JNAA,524,36.7,9697.47,1010,529240,1146485,42075999.5,53072.24,3605920.2600000016,45734992.0,86.41635552868264
N3ETAA,524,36.4,10414.74,985,516140,1132117,41209058.8,25130.82000000001,3478015.259999997,44712204.879999995,86.62805610880768
N3HFAA,524,35.5,10376.53,951,498324,1123602,39887871.0,23312.42,3341230.3399999975,43252413.76,86.79576693075188
N3DLAA,524,36.4,9647.69,961,503564,1103818,40178975.199999996,60566.490000000005,3472957.2600000002,43712498.949999996,86.80624299989672
N542UW,524,35.8,10026.38,547,286628,643407,23033970.599999998,9243.460000000001,1844131.309999992,24887345.36999999,86.82803274627737
N913US,524,36.6,9759.54,703,368372,815812,29858719.200000003,6821.400000000005,2178010.359999995,32043550.959999997,86.98693429468037
N970UY,524,39.2,10348.89,238,124712,254561,9978791.200000001,-6287.849999999998,893620.5400000002,10866123.890000002,87.12973803643597
N203UW,524,38.6,10074.91,256,134144,283210,10931906.0,8382.499999999998,755815.6800000005,11696104.18,87.19066212428434
N3FYAA,524,36.6,9530.02,1047,548628,1210396,44300493.6,7764.059999999998,3710103.2400000044,48018360.900000006,87.52444443229292
N390AA,524,36.5,9362.97,148,77552,171094,6244931.0,23598.959999999992,523945.3899999992,6792475.35,87.58607579430576
N3AGAA,524,36.4,9600.8,874,457976,1018916,37088542.4,63480.28000000002,3005617.2999999993,40157639.98,87.68503148636609
N7ASAA,524,36.2,10293.29,44,23056,50774,1838018.8,34762.13,156968.77999999994,2029749.71,88.03563974670368
N602AW,524,36.9,10191.09,604,316496,704976,26013614.4,6635.660000000002,1881729.7499999956,27901979.809999995,88.15902826576006
N3KYAA,524,38.2,9395.65,1048,549152,1169017,44656449.400000006,48911.900000000016,3727265.0200000033,48432626.32000001,88.19530170153256
N3KUAA,524,38.3,10384.99,1048,549152,1169348,44786028.4,2268.3499999999885,3697380.240000001,48485676.99,88.29190641206806
N017AA,368,34.1,7398.89,717,263856,606253,20673227.3,39971.090000000004,2589396.8700000024,23302595.26,88.31557842156329
N281AY,368,32.3,7466.88,28,10304,24819,801653.7,14504.100000000002,94076.74000000003,910234.5399999999,88.33797942546583
N8ACAA,368,33.0,7450.4,105,38640,88540,2921820.0,13324.98,478674.65999999864,3413819.6399999987,88.34936956521736
N282AY,368,31.6,7223.49,24,8832,22000,695200.0,2321.9100000000003,83230.89000000001,780752.8,88.40045289855072
N536UW,524,35.8,9375.51,582,304968,703805,25196218.999999996,17781.749999999985,1798675.5299999923,27012676.27999999,88.57544489913693
N026AA,368,33.8,7762.1,626,230368,533259,18024154.2,66708.64999999998,2321284.3299999996,20412147.179999996,88.60669528753992
N3AMAA,524,39.0,10427.15,925,484700,1024158,39942162.0,84191.76,3311576.3600000017,43337930.12,89.41186325562202
N3FVAA,524,37.6,9326.86,1043,546532,1199742,45110299.2,58213.16999999999,3722910.3000000063,48891422.67000001,89.45756638220637
N384AA,368,31.9,7146.8,81,29808,73982,2360025.8,36522.32,272713.4799999997,2669261.599999999,89.54849704777239
N3EAAA,524,35.8,10017.73,959,502516,1163187,41642094.599999994,51605.96999999999,3338159.6499999953,45031860.21999999,89.612788886324
N3GLAA,524,38.4,10326.14,977,511948,1107833,42540787.199999996,7524.6900000000005,3453147.1800000044,46001459.07,89.85572571823701
N3GPAA,524,38.1,9990.11,1062,556488,1215077,46294433.7,18304.730000000014,3745818.4000000097,50058556.83000001,89.95442279078796
N3JXAA,524,36.1,9478.34,1023,536052,1236444,44635628.4,25757.819999999992,3654454.0400000038,48315840.260000005,90.13274880048951
N977UY,524,39.2,9853.49,238,124712,264594,10372084.8,29673.999999999996,848869.2300000004,11250628.030000001,90.21287470331644
N3AFAA,524,38.1,9301.13,966,506184,1109710,42279951.0,43812.749999999956,3386713.6899999976,45710477.44,90.30407409163466
N914UY,524,37.4,10165.76,702,367848,831297,31090507.799999997,3258.6600000000035,2149692.0699999933,33243458.52999999,90.37281303690652
N5FGAA,524,37.8,9776.59,242,126808,282042,10661187.6,20968.91,787008.2900000018,11469164.8,90.44512018169202
N3CXAA,524,37.3,10096.62,1003,525572,1179117,43981064.099999994,79333.81000000001,3553903.939999998,47614301.849999994,90.59520265539258
N3EHAA,524,37.3,10492.23,924,484176,1091910,40728243.0,77695.11000000004,3300378.409999995,44106316.519999996,91.09562745778393
N3DAAA,524,38.1,9806.58,1036,542864,1203321,45846530.1,42698.44,3646378.2400000044,49535606.78,91.2486493486398
N3EUAA,524,38.0,9361.7,954,499896,1110762,42208956.0,35934.66999999999,3406203.429999994,45651094.099999994,91.32118300606525
N3ERAA,524,38.6,10345.54,962,504088,1100779,42490069.4,20271.080000000005,3571091.6799999974,46081432.16,91.415451587818
N673AW,524,38.8,10174.76,563,295012,650350,25233580.0,20925.799999999996,1716583.079999996,26971088.879999995,91.42370100199312
N3CAAA,524,38.4,9355.67,907,475268,1043954,40087833.6,136223.1,3248151.9100000034,43472208.61000001,91.4688315013845
N3CNAA,524,37.8,9476.73,968,507232,1137745,43006761.0,58747.70000000002,3392315.0999999945,46457823.8,91.59087715286101
N5BRAA,524,36.7,10319.5,133,69692,158323,5810454.100000001,63801.66000000001,510452.16999999963,6384707.930000001,91.61321141594445
N3GRAA,524,38.9,9201.92,1024,536576,1172519,45610989.1,44183.18999999999,3628347.0900000064,49283519.38,91.84816201246423
N3DWAA,524,38.8,10024.57,1003,525572,1152680,44723984.0,38665.96,3553654.1299999943,48316304.089999996,91.93089451112311
N3GJAA,524,37.9,9682.68,1012,530288,1191600,45161640.0,32956.26999999999,3587236.7600000035,48781833.03000001,91.99120672163053
N582UW,524,38.7,9397.3,719,376756,840943,32544494.1,30910.419999999987,2225745.0099999923,34801149.529999994,92.3705250347705
N3CJAA,524,38.9,9308.62,996,521904,1158534,45066972.6,3245.8499999999945,3458801.549999997,48529020.0,92.98457187528741
N3GYAA,524,38.6,9500.88,1001,524524,1174740,45344964.0,68638.57999999997,3551976.35,48965578.93,93.352408907886
N861AA,524,36.6,9854.04,1168,612032,1449848,53064436.800000004,46482.360000000015,4190400.5400000154,57301319.70000002,93.6247119431664
N8ANAA,524,36.7,9234.73,2,1048,2470,90649.0,0.0,8621.83,99270.83,94.72407442748091
N938UW,368,31.8,7580.45,200,73600,202636,6443824.8,8295.899999999992,554051.65,7006172.350000001,95.19255910326088
N3DBAA,524,39.2,9592.47,949,497276,1125517,44120266.400000006,60154.869999999995,3387502.810000002,47567924.080000006,95.65698742750506
N5BTAA,524,35.9,9256.28,339,177636,438889,15756115.1,56204.21000000001,1257732.9000000097,17070052.21000001,96.09567998603892
N3JFAA,524,39.4,9323.08,1019,533956,1210739,47703116.6,22668.45999999999,3612162.9499999983,51337948.01,96.14640159488796
N379AA,524,36.3,10423.56,140,73360,181227,6578540.1,18687.4,477583.88999999914,7074811.389999999,96.43963181570336
N5CKAA,524,37.4,10069.42,517,270908,651438,24363781.2,112558.71000000004,1684165.4100000008,26160505.32,96.5660125208558
N396AA,524,38.6,9760.27,145,75980,178645,6895697.0,18872.93,516450.65999999916,7431020.589999999,97.80232416425373
N3LUAA,524,36.5,10244.62,1106,579544,1442373,52646614.5,12138.470000000005,4097402.150000035,56756155.120000035,97.93243501787619
N721UW,200,31.1,4280.12,696,139200,377814,11750015.4,16598.73,1914968.4499999934,13681582.579999994,98.28723117816088
N161UW,368,30.5,7545.02,630,231840,680630,20759215.0,32527.120000000003,2091952.919999992,22883695.03999999,98.70468875086263
N570UW,524,38.5,9488.06,370,193880,466281,17951818.5,11259.58,1211230.319999996,19174308.399999995,98.89781514338763
N918US,368,30.6,7604.91,713,262384,788729,24135107.400000002,32447.22999999999,2207811.8699999955,26375366.5,100.52200782059882
N192UW,368,31.2,7039.48,640,235520,693521,21637855.2,39370.789999999986,2029890.7799999907,23707116.76999999,100.65861400305701
N170US,368,31.7,7578.43,656,241408,701170,22227089.0,21002.140000000003,2060698.739999991,24308789.87999999,100.69587536452806
N654AW,368,32.6,7508.65,555,204240,584878,19067022.8,25069.579999999998,1588942.9399999962,20681035.319999997,101.2584964747356
N3MBAA,524,37.3,9730.07,1118,585832,1488104,55506279.199999996,4793.019999999995,4236518.730000046,59747590.95000005,101.98758509265463
N271AY,200,28.8,4171.43,48,9600,28838,830534.4,3525.62,149187.00000000012,983247.0200000001,102.42156458333335
N3CYAA,368,31.2,7068.09,1038,381984,1145626,35743531.199999996,71129.86000000003,3712836.350000005,39527497.41,103.47945832809751
N5EWAA,368,31.6,7235.72,234,86112,258742,8176247.2,15197.74,768190.9900000016,8959635.930000002,104.04631096711262
N3LPAA,524,36.6,9259.19,1052,551248,1465046,53620683.6,34363.26000000002,3849418.2100000274,57504465.07000003,104.3168683968015
N3BWAA,368,30.5,7842.28,917,337456,1045275,31880887.5,92758.28,3282579.0499999924,35256224.82999999,104.47650902636192
N3ARAA,368,30.8,6900.2,1014,373152,1152687,35502759.6,19533.960000000006,3622078.9800000004,39144372.54000001,104.90195025083614
N3LXAA,524,36.3,9724.98,1100,576400,1555385,56460475.49999999,38546.04,4094362.400000034,60593383.94000003,105.12384444829983
N705UW,200,29.6,4501.06,600,120000,371617,10999863.200000001,28471.719999999998,1665802.6999999941,12694137.619999995,105.78448016666663
N3JEAA,368,31.3,7328.34,989,363952,1117175,34967577.5,82300.45,3451066.5899999933,38500944.54,105.78577543192509
N3BHAA,368,31.4,7803.88,1041,383088,1171572,36787360.8,108470.00000000001,3719745.720000009,40615576.52,106.02153165852233
N5DVAA,524,39.2,10192.66,618,323832,818673,32091981.6,105466.65000000001,2180111.5399999903,34377559.78999999,106.1586248116307
N190UW,368,32.7,7019.86,648,238464,710678,23239170.6,53190.97,2057412.5599999921,25349774.12999999,106.30440708031398
N3GXAA,368,31.2,7736.57,1084,398912,1238532,38642198.4,40451.82000000001,3818338.710000012,42500988.93000001,106.54226729203435
N653AW,368,33.5,7022.26,509,187312,551428,18472838.0,2007.709999999999,1481988.8899999945,19956834.599999994,106.54327859400355
N551UW,368,31.3,7401.84,638,234784,736170,23042121.0,47055.499999999985,1952438.1999999876,25041614.699999988,106.65809722979414
N176UW,368,31.8,7275.66,712,262016,804323,25577471.400000002,66075.91000000002,2312267.7999999924,27955815.109999996,106.69506865992915
N3DVAA,368,31.0,7086.37,940,345920,1087571,33714701.0,48365.17000000001,3253621.7900000038,37016687.96000001,107.00938933857542
N3JPAA,368,31.1,6980.56,916,337088,1064080,33092888.0,-1228.5299999999993,3119034.470000005,36210693.940000005,107.4220795163281
N180US,368,32.0,7348.46,624,229632,711160,22757120.0,31843.369999999988,1928194.1899999904,24717157.55999999,107.63812343227421
N5ETAA,368,32.7,7092.65,243,89424,269002,8796365.4,28408.179999999997,821202.8000000021,9645976.380000003,107.86786969940958
N3BVAA,368,31.9,7043.91,1033,380144,1169423,37304593.699999996,22148.960000000014,3683369.970000005,41010112.63,107.88046800686057
N3GAAA,368,32.6,7754.11,1040,382720,1152727,37578900.2,106271.37999999998,3656657.870000009,41341829.45000002,108.02108447428934
N3HEAA,368,31.4,7886.99,958,352544,1105549,34714238.6,53520.20000000001,3400580.759999992,38168339.559999995,108.26546348824543
N912UY,368,32.8,6979.3,682,250976,764944,25090163.2,11176.430000000002,2143720.4399999944,27245060.069999993,108.55643595403542
N3MNAA,368,31.4,7840.79,667,245456,778844,24455701.599999998,-3006.8999999999915,2231886.909999999,26684581.61,108.71431788181995
