TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT
N14179,200,30.1,4208.05
N917SW,368,33.7,7368.64
N107SY,85,23.3,2368.0
N794SK,85,21.4,2327.53
N956SW,524,39.2,9273.93
N656JB,85,21.6,2253.8
N181PQ,524,35.9,10456.98
N742SW,524,39.1,9338.27
N68452,200,31.1,4300.95
N31412,85,22.1,2174.03
N3DXAA,85,22.3,2202.9
N3HXAA,368,33.8,7316.55
N284JB,85,22.2,2390.46
N334JB,5,0.26,507.8
N905EV,85,21.4,2390.69
N11140,200,29.6,4492.08
N16561,85,21.0,2126.54
N27200,85,23.4,2372.08
N5PBMQ,200,29.3,4357.42
N12563,524,37.4,10429.4
N607NK,85,21.4,2359.47
N76529,21,16.8,3240.11
N3FKAA,85,21.3,2261.27
N910SW,85,22.8,2289.09
N830UA,200,29.6,4339.23
N454UA,85,21.7,2321.71
N462UA,85,22.9,2107.55
N464UA,85,22.6,2146.35
N498UA,524,37.9,9865.36
N415UA,21,15.3,3259.55
N544UW,85,21.3,2273.18
N654AW,368,32.6,7508.65
N708UW,85,21.8,2121.79
N847UA,524,36.5,9698.45
N831UA,85,22.9,2199.03
N68807,85,22.6,2102.76
N486WN,200,30.9,4051.07
N293WN,524,36.2,9540.15
N249WN,368,32.9,7147.14
N630WN,21,15.4,3418.3
N910WN,368,32.3,7881.58
N8641B,85,21.6,2306.98
N768SW,85,21.9,2389.12
N73445,524,35.5,9690.51
N24224,85,21.7,2156.98
N68822,200,29.2,4532.2
N38451,524,35.8,10448.59
N87531,200,30.2,4093.48
N37471,85,23.5,2300.26
N36207,200,29.5,4017.02
N33294,85,21.1,2345.51
N66814,200,29.8,4099.14
N765US,200,30.6,4208.76
N536UW,524,35.8,9375.51
N560UW,85,22.2,2275.71
N5EKAA,368,32.5,7277.18
N3FBAA,368,31.5,7533.81
N4XHAA,524,39.1,9466.4
N3EWAA,200,30.2,4521.54
N3FXAA,200,28.4,4111.41
N3BEAA,5,0.27,494.83
N3GWAA,85,22.4,2201.48
N3HCAA,200,29.0,3981.49
N3BFAA,85,22.7,2164.01
N541AA,200,30.1,4498.83
N3AYAA,200,31.2,4210.25
N439AA,85,23.4,2290.47
N3JYAA,85,21.1,2351.89
N585AA,524,39.3,10302.7
N3GFAA,85,21.4,2373.29
N201AA,524,38.8,9291.01
N4YPAA,85,21.8,2320.83
N467AA,85,21.6,2311.48
N567AA,85,21.2,2142.68
N3GKAA,85,23.5,2384.59
N3HMAA,21,16.1,3236.65
N505AA,85,22.7,2188.34
N560AA,85,22.4,2328.26
N577AS,85,21.6,2149.57
N792AS,368,31.2,7070.0
N767AS,85,21.4,2108.91
N440AS,524,38.1,10156.42
N589AS,85,21.5,2412.86
N453AS,200,31.4,4450.58
N512AS,368,30.6,7144.58
N618AS,85,23.4,2324.57
N532AS,368,30.8,7493.64
N510JB,85,23.0,2228.71
N536JB,85,23.0,2147.65
N570JB,85,22.4,2356.44
N648JB,200,30.3,4498.31
N556JB,85,22.4,2308.47
N527JB,200,29.6,4417.06
N708JB,85,22.9,2232.17
N531JB,524,35.8,9395.7
N766JB,200,30.6,4202.65
N645JB,85,23.2,2373.92
N587JB,368,32.3,7398.02
N236JB,368,30.9,6989.97
N519JB,200,29.0,4052.73
N715JB,85,23.4,2359.38
N598JB,85,22.8,2171.04
N618JB,524,35.3,9494.92
N203JB,21,16.3,3464.81
N967DL,200,30.3,4466.5
N323NB,85,23.1,2400.07
N341NW,524,38.9,9448.67
N995AT,85,23.5,2172.99
N931DN,368,31.5,7003.99
N3748Y,85,21.4,2166.47
N988DL,524,37.4,9344.41
N682DA,200,28.2,4226.8
N966AT,200,28.2,4331.61
N612DL,524,38.5,9415.5
N912DE,524,36.5,10209.3
N358NW,524,37.5,9218.47
N547AA,200,29.2,4277.61
N3JVAA,200,29.5,4045.15
N947DN,85,22.2,2327.28
N813DN,85,22.1,2329.95
N974DL,85,21.8,2182.37
N554NW,524,36.0,10082.22
N903DE,200,30.4,4489.43
N532US,85,21.6,2103.57
N952DL,200,30.3,4337.15
N934AT,200,28.7,4214.03
N905DA,524,35.7,10521.47
N193JB,5,0.25,517.36
N523JB,5,0.26,516.26
N535JB,85,21.9,2193.71
N640JB,85,22.9,2155.62
N351JB,200,30.9,4186.56
N906EV,200,31.6,4198.57
N17560,85,22.4,2275.67
N14158,85,22.1,2302.86
N14568,85,22.3,2177.74
N13908,85,23.3,2321.35
N16987,85,21.9,2188.9
N11107,85,23.2,2143.88
N846AS,524,37.1,9190.0
N861AS,85,21.8,2129.05
N838AS,5,0.25,507.24
N21129,5,0.25,477.94
N13997,85,22.3,2405.99
N12996,85,23.0,2201.68
N12122,85,23.0,2213.49
N16559,524,37.6,10379.14
N12921,85,21.1,2295.43
,21,16.5,3547.07
N211FR,200,29.6,4227.52
N919FR,200,30.6,4196.67
N924FR,200,28.2,4094.03
N929FR,85,23.1,2360.98
N939FR,85,22.9,2206.19
N949FR,524,35.3,10383.15
N491HA,85,22.7,2128.04
N514MQ,85,22.7,2388.92
N504MQ,524,37.6,10373.44
N609MQ,85,22.8,2301.19
N908MQ,200,30.0,4369.24
N825MQ,85,21.3,2321.79
N646MQ,524,38.7,10232.9
N532MQ,85,21.8,2310.0
N649MQ,5,0.24,510.45
N830MQ,200,29.6,4050.43
N618MQ,85,22.5,2272.81
N615MQ,85,22.9,2312.35
N631MQ,200,30.9,4440.62
N698MQ,85,23.1,2393.25
N602MQ,368,31.3,6925.01
N620MQ,368,31.5,7583.76
N612MQ,368,31.3,7719.69
N902MQ,200,29.5,4539.83
N625MQ,524,39.1,9956.99
N505NK,524,36.3,9944.72
N634NK,85,23.2,2381.9
N605NK,368,31.1,7273.0
N601NK,200,29.6,3961.42
N492SW,85,21.1,2246.21
N952SW,85,21.8,2201.41
N763SK,85,21.4,2228.29
N652BR,85,22.6,2227.34
N971SW,368,31.9,7122.23
N715SK,21,16.8,3575.11
N114SY,85,22.9,2194.79
N227AG,524,35.9,9808.34
N223AG,368,31.9,7536.82
N427SW,85,23.0,2153.34
N946SW,21,16.7,3551.85
N579SW,368,30.9,7324.66
N744SK,85,23.1,2356.05
N929EV,85,21.9,2180.8
N568SW,5,0.24,459.44
N594SW,368,32.2,7269.37
N563SW,85,22.4,2209.24
N682MQ,85,22.8,2195.84
N796SK,200,28.2,4250.21
N494CA,85,21.1,2202.76
N292SW,368,32.6,7176.32
N791SK,200,30.6,4531.97
N958SW,5,0.26,484.17
N976SW,200,30.4,4448.73
N767SK,85,21.1,2272.73
N740SK,85,22.0,2273.14
N708SK,21,15.9,3181.09
N291SW,524,35.8,10427.8
N495CA,85,22.7,2313.39
N438SW,85,22.5,2207.3
N983SW,5,0.27,471.19
N913SW,200,31.4,4048.46
N817UA,85,22.5,2184.88
N76523,524,36.7,9615.1
N39461,200,30.4,3975.8
N11121,200,29.8,4135.17
N486HA,21,15.8,3556.92
N726SK,524,35.6,9266.75
N924SW,524,36.3,10112.47
N816UA,524,36.9,9330.77
N406UA,200,31.5,4508.06
N75425,85,22.8,2311.62
N15986,85,23.5,2310.73
N833AS,200,28.9,3991.1
N948FR,200,30.1,4229.61
N838UA,85,23.0,2332.19
N509UA,85,21.5,2322.59
N664AW,85,22.2,2218.18
N723UW,85,23.2,2124.93
N839AW,85,22.0,2189.17
N73276,85,21.0,2114.67
N467WN,85,21.7,2228.66
N653SW,85,21.4,2300.79
N614SW,524,36.5,10064.18
N39726,85,21.2,2255.12
N663AW,85,22.0,2318.1
N4WLAA,85,22.9,2314.47
N3BGAA,85,22.7,2283.31
N4XYAA,85,22.6,2381.91
N622AS,21,16.2,3389.13
N247JB,85,21.1,2127.23
N559JB,368,33.6,6889.98
N821JB,85,22.2,2290.1
N809JB,368,32.6,7833.65
N641JB,524,35.5,9379.86
N503JB,85,23.4,2162.67
N975DL,5,0.26,493.04
N3759,524,37.8,9395.75
N336NB,368,32.2,7130.29
N14143,200,29.6,4263.37
N933EV,85,21.9,2354.41
N223FR,524,35.4,9903.52
N920FR,200,31.2,4029.48
N951FR,85,21.1,2354.96
N907MQ,200,29.0,4006.32
N667MQ,85,21.2,2308.64
N838MQ,85,22.9,2412.38
N640MQ,5,0.26,514.22
N923MQ,85,23.1,2388.31
N480HA,85,22.5,2215.07
N788SK,21,16.6,3354.44
N945SW,85,22.8,2325.55
N76522,85,22.5,2234.84
N37466,85,21.3,2405.98
N959SW,21,16.4,3603.59
N623NK,85,23.5,2411.71
N561SW,200,28.3,4294.15
N813UA,21,15.3,3327.43
N422UA,200,29.6,4399.75
N16951,5,0.24,485.21
N920SW,85,21.6,2228.48
N431SW,524,37.0,9452.89
N979SW,524,37.5,10272.14
N677AW,524,36.0,9932.81
N8303R,524,35.4,10389.3
N37464,368,33.5,7319.24
N72405,85,21.3,2399.46
N5BSAA,85,23.5,2134.19
N424AA,85,22.4,2321.48
N3LCAA,85,21.6,2290.33
N3AMAA,524,39.0,10427.15
N4XXAA,524,36.7,9398.31
N469AS,368,31.6,7519.41
N442AS,524,36.7,10202.16
N348JB,85,21.5,2253.91
N923JB,200,28.5,4066.13
N355JB,85,21.1,2398.14
N281JB,524,36.5,9420.46
N3KYAA,524,38.2,9395.65
N692DL,200,28.2,4125.97
N819DN,200,31.5,4367.04
N760JB,85,23.0,2160.99
N41104,200,29.8,4052.58
N14186,200,30.7,4415.31
N910FR,524,35.5,9835.73
N613MQ,200,29.6,4113.75
N530MQ,85,22.3,2194.4
N663MQ,85,21.5,2190.72
N970SW,21,15.6,3251.56
N021AA,85,22.2,2358.72
N834JB,85,21.1,2170.36
N12552,5,0.26,465.08
N961SW,85,21.4,2329.36
N510NK,85,21.6,2413.97
N496UA,85,21.8,2407.34
N763JB,85,22.0,2175.3
N783CA,85,21.7,2298.23
N815AW,85,22.9,2262.89
N543UW,85,22.5,2323.27
N466WN,21,15.9,3272.94
N7728D,368,31.0,7203.51
N621SW,200,30.4,4122.17
N3KCAA,5,0.25,495.95
N3ACAA,85,22.2,2265.01
N3KGAA,85,23.1,2366.01
N437AA,5,0.26,495.74
N627AS,85,22.5,2274.7
N274JB,21,15.4,3307.23
N709JB,85,23.5,2165.09
N566JB,85,22.9,2393.88
N910AT,85,23.3,2176.05
N693DL,368,31.0,7487.94
N352NW,85,22.9,2305.5
N920DN,368,31.6,6914.79
N361NB,85,23.0,2371.37
N385DN,85,23.1,2135.74
N827DN,85,21.2,2406.11
N321NB,85,21.8,2399.75
N879AS,85,22.9,2135.16
N901EV,85,22.8,2395.15
N876AS,524,36.3,9998.92
N14204,524,38.8,10065.24
N13202,85,22.1,2287.81
N847AS,21,15.7,3329.7
N221FR,85,21.9,2343.17
N931FR,85,21.9,2144.25
N657MQ,368,31.4,7682.65
N546MQ,200,28.5,4295.07
N528MQ,368,33.0,7011.08
N562SW,5,0.26,484.02
N789SK,85,21.4,2259.1
N810SK,85,21.1,2241.37
N296SW,21,16.2,3473.69
N930SW,85,23.4,2211.28
N237SW,85,23.1,2101.08
N886AS,85,22.5,2154.7
N468CA,200,31.1,4516.29
N897SK,85,21.1,2257.81
N508NK,85,22.5,2413.19
N874AS,85,22.6,2286.42
N775JB,85,22.4,2202.26
N118SY,85,22.2,2235.0
N446UA,200,29.3,4246.61
N833AW,368,33.5,7316.62
N824UA,368,30.6,7309.95
N422WN,21,16.6,3633.42
N7736A,85,21.4,2195.1
N789SW,524,35.8,10155.82
N7707C,21,16.6,3274.83
N461WN,85,23.0,2138.86
N276WN,200,28.5,4216.33
N69804,368,33.2,7528.56
N24212,368,33.6,6959.54
N640AW,200,29.9,4096.01
N557AA,200,28.2,4354.75
N5CPAA,85,23.2,2209.16
N496AA,85,21.1,2406.52
N3ERAA,524,38.6,10345.54
N519AS,368,32.0,7635.11
N3AAAA,85,21.0,2207.38
N911DA,200,30.7,4473.21
N591NW,85,22.4,2364.0
N327NB,85,22.8,2154.55
N14125,85,21.5,2184.47
N695CA,21,16.0,3404.57
N906FR,524,36.8,9666.87
N680MQ,85,22.3,2257.52
N614MQ,21,16.0,3452.09
N534NK,85,22.8,2369.45
N935SW,85,23.3,2402.33
N8903A,200,30.4,4049.92
N39423,85,21.5,2368.97
N318JB,85,21.5,2363.86
N932FR,524,35.5,10087.65
N822SK,21,16.9,3507.34
N742SK,524,37.7,10282.11
N530NK,200,28.9,4385.71
N487UA,85,22.8,2256.59
N902DE,200,28.3,4394.46
N152UW,85,22.6,2296.11
N471UA,85,21.7,2349.08
N7814B,524,35.4,10375.09
N8649A,85,21.3,2160.0
N561UW,85,22.2,2252.53
N3GHAA,200,28.7,3989.74
N3KKAA,85,21.5,2223.62
N3DPAA,5,0.25,487.6
N3GLAA,524,38.4,10326.14
N025AA,85,22.7,2341.65
N3KPAA,200,29.3,3989.6
N514AA,368,32.8,7486.07
N593AS,368,33.5,6892.22
N228JB,200,29.3,4015.88
N580JB,21,16.6,3204.91
N924DN,524,36.5,9699.03
N970DL,85,22.6,2217.52
N979AT,85,22.6,2281.08
N368JB,524,36.5,10500.53
N921EV,85,22.2,2176.03
N935FR,524,35.6,9653.35
N836MQ,200,30.5,4177.18
N606MQ,5,0.25,463.99
N516NK,368,33.9,7445.77
N889AS,524,35.2,10304.81
N896SK,85,23.2,2303.77
N14153,85,22.4,2383.29
N727SK,85,23.3,2342.09
N23139,85,23.4,2181.01
N675BR,200,29.4,4204.22
N723TW,85,23.4,2362.02
N69818,85,21.4,2222.07
N912UY,368,32.8,6979.3
N831AW,200,30.7,4147.23
N293AY,85,22.2,2179.53
N404UA,85,21.5,2108.23
N458UA,200,28.5,4526.49
N507CA,368,32.1,7496.72
N8611F,85,22.9,2305.22
N275WN,85,22.3,2407.77
N17229,85,23.0,2120.16
N732US,85,22.1,2254.59
N601AW,85,23.1,2371.69
N524UW,85,21.7,2300.63
N519UW,21,16.5,3238.71
N3EJAA,85,22.4,2377.83
N492AA,85,23.5,2329.46
N762AS,200,30.3,4165.61
N551AS,85,23.0,2196.13
N467AS,21,15.4,3405.12
N937JB,368,32.6,7415.55
N508JB,21,16.1,3458.12
N526JB,85,23.3,2336.94
N184JB,85,22.8,2162.61
N706TW,524,38.5,10293.86
N962DN,85,22.1,2239.72
N946DN,368,32.8,7119.01
N397DA,85,23.3,2345.9
N695DL,524,38.8,9731.18
N339NB,368,33.0,7159.08
N669DN,21,15.9,3479.31
N970AT,200,29.2,4232.57
N6705Y,524,37.3,9952.27
N909EV,200,30.6,4445.97
N13123,85,21.9,2315.3
N13118,85,21.9,2132.25
N13970,85,21.9,2104.31
N202FR,85,23.0,2410.07
N203FR,85,21.9,2304.58
N912FR,85,22.4,2391.42
N947FR,85,23.0,2105.71
N600MQ,200,31.5,4256.68
N935MQ,368,33.7,7783.26
N693BR,368,31.0,7059.01
N503NK,85,22.8,2275.56
N937SW,85,22.1,2339.27
N820SK,524,37.3,9379.71
N471CA,85,21.3,2275.34
N755SK,85,22.8,2203.86
N885AS,524,37.2,10323.55
N75432,85,22.7,2246.5
N493HA,200,31.0,4031.37
N294JB,200,30.0,4189.81
N908SW,200,31.2,4323.12
N403UA,5,0.25,496.79
N675AW,85,21.7,2226.43
N7745A,85,22.0,2160.47
N965WN,85,23.1,2124.3
N604AW,85,21.6,2277.1
N4WPAA,21,15.6,3348.92
N4XJAA,85,23.3,2358.62
N486AA,524,35.4,9428.5
N586AA,524,35.5,10467.81
N569AS,85,21.3,2212.9
N323AS,85,21.6,2192.92
N612AS,368,33.8,7384.74
N599JB,85,23.4,2255.71
N216JB,200,30.3,4319.57
N3GYAA,524,38.6,9500.88
N990DL,200,29.4,4089.02
N963DN,85,21.6,2324.15
N360NW,85,22.3,2354.53
N136EV,524,36.1,10150.93
N635MQ,21,15.8,3363.08
N440SW,21,16.5,3406.47
N219AG,200,30.6,4445.25
N401UA,85,22.6,2336.21
N922DX,368,33.2,7678.11
N455SW,85,22.3,2318.7
N939UW,200,30.0,4204.31
N508AY,524,36.1,10402.32
N915US,85,22.9,2179.77
N968WN,524,35.6,9727.49
N221WN,200,28.7,4193.33
N902WN,368,32.8,7157.3
N934WN,524,38.0,10091.28
N717SA,85,21.5,2345.86
N8616C,85,21.1,2326.84
N11206,85,21.6,2224.18
N16703,85,22.5,2338.38
N456AA,200,29.4,3997.24
N576AA,85,21.7,2246.64
N475AA,21,16.5,3487.12
N306AS,200,28.4,4067.63
N307AS,524,37.8,9842.17
N435AS,85,23.0,2410.64
N471AS,85,21.3,2236.29
N302AS,524,35.4,9758.57
N769AS,368,30.6,7102.35
N3LEAA,85,22.2,2121.91
N540US,368,30.9,6949.31
N990AT,85,22.1,2396.41
N909DE,21,15.2,3222.91
N913DN,368,34.1,7590.13
N904EV,200,31.1,4012.96
N830AS,200,28.2,4014.47
N877AS,5,0.25,507.36
N902EV,85,22.7,2227.79
N855MQ,21,16.5,3566.08
N905MQ,524,37.1,10390.19
N653MQ,85,23.0,2379.81
N692MQ,524,38.7,9355.63
N588NK,5,0.25,511.0
N504NK,85,22.1,2200.23
N587NK,85,23.2,2384.13
N217AG,5,0.25,491.29
N703SK,524,37.0,9507.06
N932EV,200,30.0,4241.52
N564SW,368,33.3,7419.32
N852UA,21,15.8,3373.22
N427UA,524,37.7,9893.39
N802UA,85,21.5,2373.75
N361VA,21,16.7,3424.33
N8612K,85,22.7,2413.87
N912WN,85,21.5,2112.25
N400WN,200,30.9,4280.13
N780SW,85,22.1,2106.76
N783SW,85,22.7,2318.81
N642WN,85,21.4,2211.46
N163US,21,15.8,3364.71
N520AA,200,28.8,4411.99
N3ADAA,85,21.8,2325.92
N3MCAA,85,21.7,2236.44
N3CRAA,368,32.5,7774.08
N3BBAA,200,30.3,4190.04
N3FRAA,200,31.0,4472.3
N3KEAA,368,33.0,7150.13
N183JB,85,22.9,2123.54
N374JB,85,21.6,2270.91
N944DL,368,32.3,7130.36
N329NB,200,28.2,4116.86
N633DL,85,23.0,2128.53
N678DL,85,21.4,2133.7
N324NB,200,30.9,4025.62
N918DL,368,32.3,7811.51
N309DE,368,31.9,7140.75
N908DE,85,22.3,2131.73
N3KDAA,85,21.4,2259.81
N391DA,200,30.0,4043.75
N469AA,524,39.4,10450.07
N26141,524,35.4,9967.76
N21144,368,31.7,7797.5
N206FR,85,21.3,2259.03
N219FR,85,22.4,2338.93
N921FR,368,31.9,7010.69
N637MQ,85,21.3,2209.59
N651MQ,85,22.2,2249.63
N820MQ,524,39.4,9782.26
N626NK,85,22.8,2310.88
N953SW,85,23.1,2364.9
N443SW,85,23.4,2403.4
N785SK,85,22.8,2127.74
N754SK,524,38.2,10262.29
N792SK,85,21.2,2274.93
N301YV,85,22.4,2146.64
N273JB,200,29.7,4348.29
N481HA,200,31.2,4475.13
N706SK,85,22.3,2121.6
N582NW,21,16.7,3485.38
N832UA,85,21.1,2228.84
N626AW,200,30.5,4332.0
N553UW,85,22.6,2103.36
N8315C,368,33.3,7634.97
N927WN,85,21.9,2407.26
N481WN,200,31.3,4014.29
N33209,524,38.0,9367.29
N521UW,85,21.3,2403.32
N3DJAA,368,32.4,7504.42
N477AA,85,22.9,2321.13
N5CDAA,200,28.3,4255.86
N553AA,21,16.4,3246.75
N426AA,85,23.0,2311.77
N4XPAA,85,22.9,2252.78
N3DLAA,524,36.4,9647.69
N613AS,368,32.2,7700.31
N611AS,524,38.3,10425.21
N626AS,85,23.4,2265.03
N588AS,85,22.5,2354.41
N659JB,200,29.3,4114.9
N196DN,85,23.2,2282.13
N994AT,85,23.5,2217.12
N937AT,85,21.2,2370.84
N13124,85,22.3,2402.05
N918MQ,85,22.7,2241.36
N628MQ,85,23.4,2131.37
N509MQ,368,32.6,7478.16
N694MQ,200,31.0,4347.39
N939MQ,85,22.3,2352.2
N779SK,21,15.2,3623.55
N679SA,200,30.2,4154.71
N434UA,200,28.8,4395.32
N483HA,85,23.5,2121.5
N5ENAA,200,31.1,4491.23
N522NK,368,32.9,7068.87
N37462,21,16.2,3528.33
N37255,85,23.3,2104.1
N810UA,85,23.2,2294.93
N701UW,85,23.4,2343.08
N644AW,85,22.6,2372.3
N457UA,5,0.25,462.16
N706SW,524,37.7,10421.2
N799SW,21,15.4,3201.73
N427WN,200,31.5,4055.01
N443WN,21,16.3,3510.98
N268WN,524,37.5,10135.32
N247WN,85,21.3,2268.59
N857AA,85,22.7,2245.28
N494AA,524,37.8,9191.35
N3JSAA,200,28.8,4180.98
N549AA,200,28.7,4060.32
N858AA,85,22.7,2275.36
N934JB,368,32.5,7108.64
N932DN,85,22.7,2341.63
N698DL,5,0.25,483.13
N206JB,85,21.5,2280.01
N571JB,524,38.9,9970.59
N954DN,85,21.6,2370.9
N555NW,200,30.5,4490.83
N14960,85,23.0,2175.54
N926FR,85,22.2,2268.44
N511MQ,524,37.3,10248.33
N688MQ,524,36.6,10542.87
N507MQ,200,31.1,4379.07
N490UA,85,23.1,2242.82
N833UA,85,21.8,2137.46
N128UW,200,29.8,4179.24
N69838,5,0.25,509.24
N3JNAA,524,36.7,9697.47
N944JB,85,23.1,2275.82
N652JB,524,39.1,10157.34
N997DL,85,21.8,2262.46
N506CA,85,22.7,2223.35
N930EV,85,23.4,2209.4
N432UA,368,34.0,7580.19
N456UA,524,38.1,9373.25
N429UA,200,29.9,4164.9
N715UW,368,33.9,7119.04
N825AW,368,33.1,7641.26
N826AW,21,16.6,3244.6
N566UW,368,31.4,6978.38
N827AW,21,16.8,3323.63
N538UW,200,28.3,3989.35
N482UA,200,28.5,4339.71
N411UA,5,0.26,487.34
N854UA,85,21.1,2303.07
N522UA,200,31.0,4456.97
N843UA,85,23.0,2335.19
N38424,85,21.6,2398.46
N852VA,368,32.4,7648.49
N845VA,524,36.7,9599.8
N423WN,85,22.3,2234.98
N657SW,200,28.7,4230.44
N8312C,368,33.8,7085.37
N8305E,5,0.25,460.54
N792SW,524,35.8,10515.6
N939WN,85,21.7,2362.73
N7735A,368,33.9,7810.2
N497WN,524,38.1,9257.64
N283WN,85,21.4,2208.67
N628SW,200,28.9,4414.02
N962WN,85,21.2,2124.5
N237WN,200,28.4,4483.7
N57864,524,38.5,9330.11
N14107,524,35.7,10378.38
N161UW,368,30.5,7545.02
N540UW,368,32.7,7253.88
N565UW,368,33.1,7403.96
N758US,85,21.5,2194.18
N185UW,524,37.5,9411.11
N792AA,200,29.6,4387.25
N019AA,21,15.9,3445.99
N788AA,85,23.4,2230.06
N5EGAA,85,22.9,2230.62
N3LJAA,368,33.1,7605.37
N5DXAA,85,23.3,2100.34
N4YDAA,21,15.6,3352.09
N3MAAA,85,21.9,2136.75
N489AA,200,29.5,4174.65
N3CHAA,85,23.0,2317.2
N491AA,200,29.9,4323.99
N023AA,85,23.1,2295.55
N504AA,200,30.5,3987.82
N5DHAA,85,23.0,2337.8
N5EYAA,524,38.9,9690.08
N425AA,85,23.4,2112.3
N3KXAA,85,23.0,2134.43
N008AA,524,37.1,9220.41
N571AA,21,16.4,3259.23
